"Table with row headers in column A, and column headers in rows 5 through 544. Leading dots indicate subparts. ",,,,,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in 1999 by Sex and Detailed Occupation1: 20002",,,,,,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)3",,,,,,,,
,,,,,,,,
,"Number of Full-Time, Year-Round Workers4",,,Percentage of women in occupational group,Median Earnings (dollars),,,Women's earnings as a percentage of men's earnings
Occupational Category,Total,Men,Women,,Total,Men,Women,
,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
..Barbers,"48,680","39,330","9,350",19.2,"21,699","22,470","17,151",76.3
"..Hairdressers, hairstylists, and cosmetologists","305,440","40,490","264,960",86.7,"19,575","26,670","18,526",69.5
..Miscellaneous personal appearance workers,"55,350","7,300","48,050",86.8,"18,369","19,855","18,108",91.2
"..Baggage porters, bellhops, and concierges","29,990","25,540","4,450",14.8,"22,838","23,289","21,873",93.9
..Tour and travel guides,"9,900","5,850","4,050",40.9,"22,959","23,750","22,109",93.1
..Transportation attendants,"51,990","13,740","38,250",73.6,"32,017","35,803","31,244",87.3
..Child care workers,"464,100","20,970","443,130",95.5,"14,504","21,403","14,207",66.4
..Personal and home care aides,"108,720","17,040","91,680",84.3,"16,576","19,606","16,180",82.5
..Recreation and fitness workers,"106,550","44,780","61,770",58.0,"25,931","30,415","23,228",76.4
..Residential advisors,"22,640","7,440","15,210",67.2,"21,259","22,408","20,713",92.4
"..Personal care and service workers, all other","14,500","9,710","4,780",33.0,"21,095","21,669","19,649",90.7
Sales and office occupations:,"21,045,800","8,438,270","12,607,520",59.9,"28,480","36,438","25,439",69.8
.Sales and related occupations:,"8,570,730","5,194,000","3,376,730",39.4,"32,344","40,075","24,765",61.8
..First-line supervisors/managers of retail sales workers,"2,167,180","1,345,510","821,670",37.9,"30,991","36,350","24,324",66.9
..First-line supervisors/managers of non-retail sales workers,"768,420","534,320","234,100",30.5,"42,002","47,184","34,591",73.3
..Cashiers,"770,520","206,510","564,000",73.2,"16,691","21,308","15,696",73.7
..Counter and rental clerks,"55,260","25,190","30,070",54.4,"20,520","26,256","16,666",63.5
..Parts salespersons,"97,580","88,520","9,060",9.3,"27,193","27,899","21,285",76.3
..Retail salespersons,"1,536,280","933,840","602,440",39.2,"26,646","31,709","20,331",64.1
..Advertising sales agents,"147,180","73,770","73,410",49.9,"40,584","45,701","36,321",79.5
..Insurance sales agents,"385,520","230,940","154,580",40.1,"40,064","51,449","30,230",58.8
"..Securities, commodities, and financial services sales agents","290,550","200,920","89,630",30.8,"52,022","66,192","36,997",55.9
..Travel agents,"89,840","16,780","73,060",81.3,"26,976","31,104","26,403",84.9
"..Sales representatives, services, all other","433,010","298,380","134,640",31.1,"44,312","49,877","36,868",73.9
"..Sales representatives, wholesale and manufacturing","1,109,620","861,120","248,500",22.4,"45,739","49,226","36,581",74.3
"..Models, demonstrators, and product promoters","11,870","5,010","6,860",57.8,"30,349","40,107","23,370",58.3
