"Table with row headers in column A, and column headers in rows 5 through 544. Leading dots indicate subparts. ",,,,,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in 1999 by Sex and Detailed Occupation1: 20002",,,,,,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)3",,,,,,,,
,,,,,,,,
,"Number of Full-Time, Year-Round Workers4",,,Percentage of women in occupational group,Median Earnings (dollars),,,Women's earnings as a percentage of men's earnings
Occupational Category,Total,Men,Women,,Total,Men,Women,
,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
..Bus and truck mechanics and diesel engine specialists,"244,690","242,330","2,360",1.0,"33,836","33,882","30,063",88.7
..Heavy vehicle and mobile equipment service technicians and mechanics,"143,610","142,540","1,070",0.7,"36,162","36,185","31,250",86.4
..Small engine mechanics,"32,450","31,900",550,1.7,"25,670","25,683","25,120",97.8
"..Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","40,310","39,730",580,1.4,"22,804","22,788","24,444",(X)
..Control and valve installers and repairers,"17,630","16,840",790,4.5,"36,924","37,132","31,731",85.5
"..Heating, air conditioning, and refrigeration mechanics and installers","232,880","229,390","3,490",1.5,"32,389","32,453","27,645",85.2
..Home appliance repairers,"37,920","36,980",950,2.5,"30,419","30,506","23,895",78.3
..Industrial and refractory machinery mechanics,"396,870","383,710","13,160",3.3,"37,491","37,848","29,131",77.0
"..Maintenance and repair workers, general","324,050","312,340","11,700",3.6,"31,641","31,718","28,524",89.9
"..Maintenance workers, machinery","18,520","17,730",790,4.2,"35,419","35,754","27,412",76.7
..Millwrights,"58,110","56,950",1160,2.0,"46,171","46,290","36,513",78.9
..Electrical power-line installers and repairers,"87,740","85,950","1,800",2.0,"47,717","48,110","31,796",66.1
..Telecommunications line installers and repairers,"134,360","125,890","8,470",6.3,"39,529","39,492","39,999",101.3
..Precision instrument and equipment repairers,"53,610","48,130","5,480",10.2,"38,690","40,300","28,834",71.5
"..Coin, vending, and amusement machine servicers and repairers","36,830","31,560","5,280",14.3,"26,921","27,762","21,361",76.9
..Commercial divers,"1,590","1,540",50,3.1,"34,633","34,950","26,563",(X)
..Locksmiths and safe repairers,"21,830","20,510",1330,6.1,"30,659","30,841","26,366",85.5
..Manufactured building and mobile home installers,"13,820","13,300",510,3.7,"24,820","24,883","22,077",(X)
..Riggers,"5,920","5,830",90,1.5,"35,029","35,196","26,786",(X)
..Signal and track switch repairers,"4,750","4,730",20,0.4,"46,250","46,253","36,875",(X)
"..Helpers--installation, maintenance, and repair workers","8,080","7,220",860,10.6,"22,188","21,991","24,662",112.1
"..Other installation, maintenance, and repair workers","166,740","156,460","10,280",6.2,"30,880","31,183","25,311",81.2
"Production, transportation, and material moving occupations:","12,754,560","9,909,900","2,844,660",22.3,"29,104","31,468","21,311",67.7
.Production occupations:,"7,892,600","5,629,190","2,263,410",28.7,"28,824","32,018","21,322",66.6
..First-line supervisors/managers of production and operating workers,"1,094,900","883,320","211,580",19.3,"39,389","41,368","29,024",70.2
"..Aircraft structure, surfaces, rigging, and systems assemblers","8,790","6,090","2,710",30.8,"33,532","39,219","26,478",67.5
"..Electrical, electronics, and electromechanical assemblers","182,350","73,650","108,700",59.6,"23,020","26,651","21,399",80.3
..Engine and other machine assemblers,"21,690","17,190","4,490",20.7,"35,255","37,273","26,448",71.0
..Structural metal fabricators and fitters,"22,600","21,620",980,4.3,"34,783","35,149","30,194",85.9
..Miscellaneous assemblers and fabricators,"795,820","469,510","326,300",41.0,"25,377","28,659","21,579",75.3
..Bakers,"91,090","51,880","39,210",43.0,"21,104","24,283","18,071",74.4
"..Butchers and other meat, poultry, and fish processing workers","180,200","145,240","34,960",19.4,"24,623","26,617","17,752",66.7
"..Food and tobacco roasting, baking, and drying machine operators and tenders","5,850","4,370","1,480",25.3,"26,740","27,637","23,245",84.1
..Food batchmakers,"43,690","22,090","21,600",49.4,"22,858","27,311","19,864",72.7
..Food cooking machine operators and tenders,"4,140","2,670","1,480",35.7,"21,242","24,498","18,468",75.4
..Computer control programmers and operators,"35,630","31,640","4,000",11.2,"33,927","35,265","26,314",74.6
"..Extruding and drawing machine setters, operators, and tenders, metal and plastic","13,810","11,690","2,120",15.3,"30,825","31,642","25,227",79.7
"..Forging machine setters, operators, and tenders, metal and plastic","10,760","10,130",630,5.8,"32,173","32,481","24,072",74.1
"..Rolling machine setters, operators, and tenders, metal and plastic","12,000","8,900",3100,25.8,"29,651","32,232","22,018",68.3
"..Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","100,100","73,770","26,330",26.3,"26,272","28,222","21,489",76.1
"..Drilling and boring machine tool setters, operators, and tenders, metal and plastic","7,400","5,880","1,530",20.6,"27,430","30,233","21,506",71.1
"..Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","59,210","52,130",7080,12.0,"29,075","30,115","23,291",77.3
"..Lathe and turning machine tool setters, operators, and tenders, metal and plastic","14,630","12,970","1,670",11.4,"30,485","31,259","23,587",75.5
"..Milling and planing machine setters, operators, and tenders, metal and plastic","2,460","2,050",410,16.7,"30,698","31,839","23,971",(X)
..Machinists,"396,110","377,730",18390,4.6,"35,064","35,463","25,295",71.3
..Metal furnace and kiln operators and tenders,"27,570","25,660","1,910",6.9,"34,092","34,982","25,558",73.1
"..Model makers and patternmakers, metal and plastic","12,060","10,590",1480,12.2,"42,179","43,450","31,604",72.7
"..Molders and molding machine setters, operators, and tenders, metal and plastic","70,860","56,810","14,050",19.8,"28,643","31,002","21,336",68.8
"..Multiple machine tool setters, operators, and tenders, metal and plastic","6,080","4,470","1,610",26.4,"30,907","34,068","25,360",74.4
..Tool and die makers,"103,800","100,830",2970,2.9,"44,155","44,473","30,438",68.4
"..Welding, soldering, and brazing workers","441,080","410,680","30,400",6.9,"30,130","30,591","22,042",72.1
"..Heat treating equipment setters, operators, and tenders, metal and plastic","9,590","8,820",770,8.0,"35,912","36,509","27,534",75.4
"..Lay-out workers, metal and plastic","7,710","6,910",800,10.3,"32,591","33,072","29,356",88.8
"..Plating and coating machine setters, operators, and tenders, metal and plastic","18,010","15,780",2230,12.4,"29,149","30,064","24,477",81.4
"..Tool grinders, filers, and sharpeners","10,130","9,590",540,5.3,"35,459","35,860","28,015",(X)
"..Metalworkers and plastic workers, all other","430,940","315,380",115570,26.8,"27,523","30,233","22,148",73.3
..Bookbinders and bindery workers,"32,910","17,620","15,290",46.4,"25,224","30,571","21,198",69.3
..Job printers,"64,210","51,880","12,330",19.2,"29,315","31,053","21,701",69.9
..Prepress technicians and workers,"53,230","30,570","22,660",42.6,"29,545","34,931","22,878",65.5
..Printing machine operators,"155,980","132,820","23,150",14.8,"31,188","32,409","22,213",68.5
..Laundry and dry-cleaning workers,"108,230","48,540","59,690",55.1,"17,733","22,261","15,589",70.0
"..Pressers, textile, garment, and related materials","44,870","17,840","27,030",60.2,"17,124","22,167","15,490",69.9
..Sewing machine operators,"250,690","57,330","193,360",77.1,"16,970","21,367","16,204",75.8
..Shoe and leather workers and repairers,"10,900","8,340","2,560",23.5,"20,244","21,529","16,904",78.5
..Shoe machine operators and tenders,"5,990","2,440","3,550",59.3,"18,268","20,683","17,370",84.0
"..Tailors, dressmakers, and sewers","52,600","15,550",37060,70.4,"19,906","26,402","17,368",65.8
..Textile bleaching and dyeing machine operators and tenders,"6,570","5,340","1,230",18.7,"23,560","24,117","21,336",88.5
"..Textile cutting machine setters, operators, and tenders","10,160","6,020","4,140",40.7,"20,434","21,639","18,568",85.8
"..Textile knitting and weaving machine setters, operators, and tenders","23,610","9,300","14,310",60.6,"22,842","25,344","21,597",85.2
"..Textile winding, twisting, and drawing out machine setters, operators, and tenders","26,700","9,790","16,920",63.4,"21,263","23,326","20,463",87.7
"..Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","1,090",800,290,26.6,"31,543","32,649","30,296",(X)
..Fabric and apparel patternmakers,"3,720",940,"2,780",74.7,"40,372","39,628","40,527",102.3
..Upholsterers,"39,340","31,530","7,810",19.9,"24,261","25,401","20,884",82.2
"..Textile, apparel, and furnishings workers, all other","28,390","14,580","13,810",48.6,"21,193","24,327","18,797",77.3
..Cabinetmakers and bench carpenters,"59,600","55,890","3,710",6.2,"26,406","26,785","20,405",76.2
..Furniture finishers,"17,960","14,400","3,560",19.8,"22,986","25,284","18,445",73.0
"..Model makers and patternmakers, wood",940,820,120,12.8,"37,364","41,563","21,302",(X)
"..Sawing machine setters, operators, and tenders, wood","42,720","37,320","5,400",12.6,"22,222","22,769","19,429",85.3
"..Woodworking machine setters, operators, and tenders, except sawing","30,980","23,290","7,690",24.8,"22,281","23,754","19,764",83.2
"..Woodworkers, all other","23,510","21,400","2,110",9.0,"23,607","24,513","18,366",74.9
"..Power plant operators, distributors, and dispatchers","37,660","34,910","2,750",7.3,"54,159","55,061","44,407",80.6
..Stationary engineers and boiler operators,"82,740","80,380","2,360",2.8,"41,740","41,857","35,050",83.7
..Water and liquid waste treatment plant and system operators,"63,120","59,780","3,340",5.3,"34,548","34,741","31,875",91.7
..Miscellaneous plant and system operators,"35,340","32,960","2,390",6.7,"45,515","45,949","36,047",78.5
"..Chemical processing machine setters, operators, and tenders","54,930","48,440","6,490",11.8,"41,511","42,143","32,025",76.0
"..Crushing, grinding, polishing, mixing, and blending workers","79,140","69,280","9,860",12.5,"29,672","30,481","23,548",77.3
..Cutting workers,"66,390","51,610","14,770",22.2,"24,772","26,313","19,716",74.9
"..Extruding, forming, pressing, and compacting machine setters, operators, and tenders","32,790","25,770","7,030",21.4,"27,720","29,663","21,956",74.0
"..Furnace, kiln, oven, drier, and kettle operators and tenders","16,570","11,720","4,850",29.3,"29,204","33,323","21,455",64.4
"..Inspectors, testers, sorters, samplers, and weighers","637,750","370,620","267,130",41.9,"30,150","35,873","23,507",65.5
..Jewelers and precious stone and metal workers,"29,040","21,430","7,610",26.2,"25,922","28,634","20,324",71.0
"..Medical, dental, and ophthalmic laboratory technicians","63,030","36,260","26,770",42.5,"27,713","32,125","23,519",73.2
..Packaging and filling machine operators and tenders,"162,710","70,720",91990,56.5,"21,236","24,695","19,560",79.2
..Painting workers,"122,820","105,390","17,420",14.2,"27,489","29,006","21,323",73.5
..Photographic process workers and processing machine operators,"45,620","22,480","23,140",50.7,"22,535","27,912","19,617",70.3
..Semiconductor processors,"4,920","2,810",2110,42.9,"32,175","35,759","28,800",80.5
..Cementing and gluing machine operators and tenders,"12,720","7,280","5,430",42.7,"23,647","26,389","20,040",75.9
"..Cleaning, washing, and metal pickling equipment operators and tenders","9,500","6,870","2,630",27.7,"25,087","26,836","21,473",80.0
..Cooling and freezing equipment operators and tenders,"2,540","2,270",270,10.6,"35,046","35,865","22,243",(X)
..Etchers and engravers,"9,750","6,370","3,380",34.6,"26,117","30,758","20,647",67.1
"..Molders, shapers, and casters, except metal and plastic","23,240","19,790","3,450",14.8,"26,727","28,237","20,032",70.9
"..Paper goods machine setters, operators, and tenders","32,700","25,770","6,930",21.2,"35,662","39,447","21,708",55.0
..Tire builders,"18,670","17,460","1,210",6.5,"40,587","40,727","36,750",90.2
..Helpers--production workers,"23,460","18,660","4,800",20.5,"23,054","23,835","21,224",89.0
"..Production workers, all other","889,550","615,790","273,750",30.8,"26,683","29,912","21,456",71.7
.Transportation and material moving occupations:,"4,861,960","4,280,710","581,250",12.0,"29,572","30,696","21,259",69.3
"..Supervisors, transportation and material moving workers","193,010","159,470","33,540",17.4,"36,554","37,988","29,844",78.6
..Aircraft pilots and flight engineers,"82,230","79,360","2,870",3.5,"63,075","64,607","43,393",67.2
..Air traffic controllers and airfield operations specialists,"31,860","26,440","5,420",17.0,"65,310","66,992","56,478",84.3
"..Ambulance drivers and attendants, except emergency medical technicians","3,280","2,430",850,25.9,"23,802","25,367","21,229",83.7
..Bus drivers,"186,740","122,130","64,610",34.6,"27,224","31,095","21,656",69.6
..Driver/sales workers and truck drivers,"2,130,980","2,041,390","89,580",4.2,"31,773","32,039","22,498",70.2
..Taxi drivers and chauffeurs,"112,180","99,990","12,180",10.9,"22,251","22,885","18,587",81.2
"..Motor vehicle operators, all other","7,010","6,260",750,10.7,"26,064","26,938","16,332",60.6
..Locomotive engineers and operators,"41,940","40,350",1580,3.8,"55,307","55,804","46,374",83.1
"..Railroad brake, signal, and switch operators","7,840","7,630",210,2.7,"47,407","47,731","38,750",(X)
..Railroad conductors and yardmasters,"39,090","37,100","1,990",5.1,"51,734","52,132","38,767",74.4
"..Subway, streetcar, and other rail transportation workers","7,970","7,270",700,8.8,"41,486","41,831","36,863",88.1
..Sailors and marine oilers,"9,650","9,150",500,5.2,"30,769","31,047","26,117",(X)
..Ship and boat captains and operators,"17,650","17,150",500,2.8,"42,391","43,023","30,554",(X)
..Ship engineers,"3,380","3,310",70,2.1,"45,638","45,162","57,188",(X)
..Bridge and lock tenders,"3,740","3,260",480,12.8,"37,122","38,462","19,304",(X)
..Parking lot attendants,"22,540","19,640","2,900",12.9,"19,401","19,857","16,749",84.4
..Service station attendants,"46,300","36,590","9,710",21.0,"17,776","18,964","15,286",80.6
..Transportation inspectors,"32,580","27,990","4,590",14.1,"41,652","43,001","31,043",72.2
..Other transportation workers,"10,390","9,040","1,350",13.0,"31,183","31,564","29,074",92.1
..Conveyor operators and tenders,"3,910","3,290",620,15.9,"30,630","31,191","26,502",85.0
..Crane and tower operators,"55,450","53,790",1650,3.0,"39,582","39,696","36,308",91.5
"..Dredge, excavating, and loading machine operators","38,970","38,360",610,1.6,"31,618","31,704","26,061",82.2
..Hoist and winch operators,"5,830","5,520",310,5.3,"31,782","32,155","26,047",(X)
..Industrial truck and tractor operators,"350,490","322,160",28330,8.1,"26,713","26,836","25,520",95.1
..Cleaners of vehicles and equipment,"144,590","120,960","23,630",16.3,"20,562","20,923","18,528",88.6
"..Laborers and freight, stock, and material movers, hand","952,880","791,050","161,830",17.0,"25,291","26,254","20,794",79.2
..Machine feeders and offbearers,"31,690","20,170","11,520",36.4,"23,404","26,441","20,213",76.4
"..Packers and packagers, hand","177,890","69,910","107,980",60.7,"19,230","21,277","17,956",84.4
..Pumping station operators,"14,830","14,300",540,3.6,"36,591","36,518","40,625",111.2
..Refuse and recyclable material collectors,"50,590","47,080","3,510",6.9,"26,185","26,510","21,718",81.9
..Shuttle car operators,"1,470","1,320",150,10.2,"30,497","31,317","21,484",(X)
"..Tank car, truck, and ship loaders","3,610","3,440",170,4.7,"31,241","31,635","17,955",(X)
"..Material moving workers, all other","39,430","33,400","6,020",15.3,"30,593","31,598","23,627",74.8
Footnotes:,,,,,,,,
(X) Fewer than 100 sample cases (either men or women).  Base figure too small to meet statistical standards for reliability.,,,,,,,,
 -  An '-' entry in the median earnings columns indicates that no sample observations or too few sample observations were available to compute an estimate.,,,,,,,,
1 Occupation codes are based on the Standard Occupational Classification 2000. ,,,,,,,,
"2 Estimates are based on survey data and are subject to sampling error. Prior to the implementation of the American Community Survey, presentation of the margin of error was not standard. For information on calculating standard errors for Census 2000 estimates and information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/prod/cen2000/doc/sf3.pdf.",,,,,,,,
"3 Estimates and median earnings may differ from a previously released Census Bureau report highlighting estimates and median earnings by sex in select occupations (Weinberg, Daniel H. 2004. ""Evidence From Census 2000 About Earnings by Detailed Occupation for Men and Women."" Census 2000 Special Reports CENSR-15.). The previously released report counts teachers working 37 or more weeks per year as full-time, year-round workers. Median earnings may differ due to improvements in methodology for calculating median earnings applied to this table. ",,,,,,,,
"4 To protect confidentiality, the number of workers is rounded to the nearest 10. Due to rounding, numbers may not add up to the totals presented. ",,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,
,,,,,,,,
Internet release date: 09/14/2016,,,,,,,,
,,,,,,,,
,,,,,,,,
