Year,OccupationalCategory,Men,Women,Percentage
2015,Funeral service managers,71617,52125,0
2015,Gaming managers,52127,47845,91.8
2015,Lodging managers,50610,36533,72.2
2015,Medical and health services managers,84450,64765,76.7
2015,Natural sciences managers,121164,85416,70.5
2015,Postmasters and mail superintendents,77465,56317,72.7
2015,Property real estate and community association managers,57059,41743,73.2
2015,Social and community service managers,62367,51933,83.3
2015,Emergency management directors,73478,73102,0
2015,Managers all other,81462,63917,78.5
2015,Business and Financial Operations Occupations:,70670,52958,74.9
2015,Agents and business managers of artists performers and athletes,51910,47043,90.6
2015,Buyers and purchasing agents farm products,51063,50742,0
2015,Wholesale and retail buyers except farm products,41619,42990,103.3
2015,Purchasing agents except wholesale retail and farm products,60957,50058,82.1
2015,Claims adjusters appraisers examiners and investigators,60097,46520,77.4
2015,Compliance officers,66724,60054,90
2015,Cost estimators,60249,49443,82.1
2015,Human resources workers,63034,51765,82.1
2015,Compensation benefits and job analysis specialists,61089,47927,78.5
2015,Training and development specialists,59310,50024,84.3
2015,Logisticians,54698,50410,92.2
2015,Management analysts,89151,72006,80.8
2015,Meeting convention and event planners,47876,46973,98.1
2015,Fundraisers,69292,57730,83.3
2015,Market research analysts and marketing specialists,80508,60673,75.4
2015,Business operations specialists all other,67442,51378,76.2
2015,Accountants and auditors,72805,54720,75.2
2015,Appraisers and assessors of real estate,61056,45643,74.8
2015,Budget analysts,78667,65830,83.7
2015,Credit analysts,56903,51602,90.7
2015,Financial analysts,100081,63424,63.4
2015,Personal financial advisors,98126,60359,61.5
2015,Insurance underwriters,75372,52283,69.4
2015,Financial examiners,77263,60411,0
2015,Credit counselors and loan officers,69726,46394,66.5
2015,Tax examiners and collectors and revenue agents,66754,45704,68.5
2015,Tax preparers,70641,47997,67.9
2015,Financial specialists all other,81859,48869,59.7
2015,Computer Engineering and Science Occupations:,78480,65160,83
2015,Computer and mathematical occupations:,80509,69795,86.7
2015,Computer and information research scientists,100222,88006,0
2015,Computer systems analysts,81174,69346,85.4
2015,Information security analysts,86349,80245,92.9
2015,Computer programmers,81508,75088,92.1
2015,Software developers applications and systems software,96868,83808,86.5
2015,Web developers,61566,53995,87.7
2015,Computer support specialists,53960,49001,90.8
2015,Database administrators,84609,61378,72.5
2015,Network and computer systems administrators,68363,61699,90.3
2015,Computer network architects ,96549,94445,97.8
2015,Computer occupations all other,66971,65329,97.5
2015,Actuaries,116019,106759,92
2015,Mathematicians,73799,99362,0
2015,Operations research analysts,86748,68925,79.5
2015,Statisticians,87488,74291,84.9
2015,Miscellaneous mathematical science occupations,75221,56018,0
2015,Architecture and Engineering Occupations:,79244,64961,82
2015,Architects except naval,75395,60518,80.3
2015,Surveyors cartographers and photogrammetrists,61190,50876,83.1
2015,Aerospace engineers,101260,90023,88.9
2015,Agricultural engineers,73207,39356,0
2015,Biomedical engineers,77459,85248,0
2015,Chemical engineers,100632,95507,94.9
2015,Civil engineers,81911,71854,87.7
2015,Computer hardware engineers,95258,76236,0
2015,Electrical and electronics engineers,93351,81167,86.9
2015,Environmental engineers,80413,72478,90.1
2015,Industrial engineers including health and safety,76487,66498,86.9
2015,Marine engineers and naval architects,85451,70430,0
2015,Materials engineers,80877,73038,0
2015,Mechanical engineers,80193,72416,90.3
2015,Mining and geological engineers including mining safety engineers,86617,108500,0
2015,Nuclear engineers,86028,71482,0
2015,Petroleum engineers,109564,120253,0
2015,Engineers all other,91800,81702,89
2015,Drafters,52296,47123,90.1
2015,Engineering technicians except drafters,56847,43517,76.6
2015,Surveying and mapping technicians,49813,42403,0
2015,Life Physical and Social Science Occupations:,66913,57617,86.1
2015,Agricultural and food scientists,62867,53805,85.6
2015,Biological scientists,57653,57107,99.1
2015,Conservation scientists and foresters,58798,52387,89.1
2015,Medical scientists,80113,66860,83.5
2015,Life scientists all other,54143,70276,0
2015,Astronomers and physicists,100930,105332,0
2015,Atmospheric and space scientists,76668,56603,0
2015,Chemists and materials scientists,71853,65582,91.3
2015,Environmental scientists and geoscientists,77333,61583,79.6
2015,Physical scientists all other,85195,61217,71.9
2015,Economists,120076,82427,68.6
2015,Survey researchers,117685,70443,0
2015,Psychologists,76903,62146,80.8
2015,Urban and regional planners,71693,62266,86.9
2015,Miscellaneous social scientists and related workers including sociologists,68632,52123,75.9
2015,Agricultural and food science technicians,45910,39464,86
2015,Biological technicians,46823,41644,88.9
2015,Chemical technicians,51831,47360,91.4
2015,Geological and petroleum technicians,62243,52394,0
2015,Nuclear technicians,110076,71540,0
2015,Social science research assistants,40888,35803,0
2015,Miscellaneous life physical and social science technicians,48138,40792,84.7
2015,Education Legal Community Service Arts and Media Occupations:,56887,45482,80
2015,Community and Social Service Occupations:,43927,41485,94.4
2015,Counselors,42299,42369,100.2
2015,Social workers,42821,41795,97.6
2015,Probation officers and correctional treatment specialists,47561,44385,93.3
2015,Social and human service assistants,34967,35766,102.3
2015,Miscellaneous community and social service specialists including health educators and community health workers,47966,39620,82.6
2015,Clergy,45350,40754,89.9
2015,Directors religious activities and education,43053,38681,89.8
2015,Religious workers all other,40454,35612,88
2015,Legal Occupations:,116689,61432,52.6
2015,Lawyers,127337,101640,79.8
2015,Judicial law clerks,54778,55883,0
2015,Judges magistrates and other judicial workers,115636,83173,71.9
2015,Paralegals and legal assistants,50498,46061,91.2
2015,Miscellaneous legal support workers,60958,43663,71.6
2015,Education Training and Library Occupations:,55349,44667,80.7
2015,Postsecondary teachers,71414,60359,84.5
2015,Preschool and kindergarten teachers,30067,24257,80.7
2015,Elementary and middle school teachers,51986,47521,91.4
2015,Secondary school teachers,52819,49048,92.9
2015,Special education teachers,46932,47378,101
2015,Other teachers and instructors,50250,40132,79.9
2015,Archivists curators and museum technicians,58285,46130,79.1
2015,Librarians,51879,48005,92.5
2015,Library technicians,38063,31014,0
2015,Teacher assistants,25873,20748,80.2
2015,Other education training and library workers,55834,50756,90.9
2015,Arts Design Entertainment Sports and Media Occupations:,52617,47086,89.5
2015,Artists and related workers,54669,37261,68.2
2015,Designers,55658,44269,79.5
2015,Actors,40745,37149,0
2015,Producers and directors,62368,66226,106.2
2015,Athletes coaches umpires and related workers,46602,36682,78.7
2015,Dancers and choreographers,50701,30782,0
2015,Musicians singers and related workers,42988,42279,98.4
2015,Entertainers and performers sports and related workers all other,42245,32475,0
2015,Announcers,40829,41437,0
2015,News analysts reporters and correspondents,55156,45994,83.4
2015,Public relations specialists,76638,58483,76.3
2015,Editors,55899,51884,92.8
2015,Technical writers,75598,61511,81.4
2015,Writers and authors,60192,51219,85.1
2015,Miscellaneous media and communication workers,46135,40256,87.3
2015,Miscellaneous media and communications equipment workers including broadcast and sound engineering technicians and radio operators,50378,52954,0
2015,Photographers,44513,30455,68.4
2015,Television video and motion picture camera operators and editors,51081,42205,0
2015,Healthcare Practitioners and Technical Occupations:,80723,56710,70.3
2015,Chiropractors,72468,60223,83.1
2015,Dentists,151071,102460,67.8
2015,Dietitians and nutritionists,49001,47717,97.4
2015,Optometrists,120521,96186,79.8
2015,Pharmacists,120792,111809,92.6
2015,Physicians and surgeons,202533,140036,69.1
2015,Physician assistants,93791,76396,81.5
2015,Podiatrists,126978,62064,0
2015,Audiologists,82289,75339,0
2015,Occupational therapists,75740,67164,88.7
2015,Physical therapists,80411,70509,87.7
2015,Radiation therapists,84219,68886,0
2015,Recreational therapists,42004,41782,0
2015,Respiratory therapists,60677,51864,85.5
2015,Speech-language pathologists,68346,60552,0
2015,Miscellaneous therapists including exercise physiologists,50295,46040,91.5
2015,Veterinarians,96582,80681,83.5
2015,Registered nurses,67990,61946,91.1
2015,Nurse anesthetists,150870,142185,94.2
2015,Nurse midwives,0,90174,0
2015,Nurse practitioners,106141,91276,86
2015,Health diagnosing and treating practitioners all other,52729,42025,0
2015,Clinical laboratory technologists and technicians,46941,44623,95.1
2015,Dental hygienists,53709,51972,0
2015,Diagnostic related technologists and technicians,60703,52950,87.2
2015,Emergency medical technicians and paramedics,43647,37023,84.8
2015,Health practitioner support technologists and technicians,35640,31292,87.8
2015,Licensed practical and licensed vocational nurses,42442,39562,93.2
2015,Medical records and health information technicians,36960,31126,84.2
2015,Opticians dispensing,42128,32267,76.6
2015,Miscellaneous health technologists and technicians,47830,39277,82.1
2015,Other healthcare practitioners and technical occupations,60786,47405,78
2015,.Service Occupations:,30950,23351,75.4
2015,Healthcare Support Occupations:,30838,26743,86.7
2015,Nursing psychiatric and home health aides,30408,25362,83.4
2015,Occupational therapy assistants and aides,50311,48606,0
2015,Physical therapist assistants and aides,46313,41098,88.7
2015,Massage therapists,29272,29240,99.9
2015,Dental assistants,26823,30399,0
2015,Medical assistants,29894,28661,95.9
2015,Medical transcriptionists,40429,31772,0
2015,Pharmacy aides,30645,29383,0
2015,Veterinary assistants and laboratory animal caretakers,26551,22461,0
2015,Phlebotomists,34855,30732,88.2
2015,Healthcare support workers all other including medical equipment preparers,32130,26452,82.3
2015,Protective Service Occupations:,51159,40760,79.7
2015,First-line supervisors of correctional officers,54853,44324,80.8
2015,First-line supervisors of police and detectives,75566,65227,86.3
2015,First-line supervisors of fire fighting and prevention workers,87065,68891,0
2015,First-line supervisors of protective service workers all other,50239,44965,89.5
2015,Firefighters,62361,57346,92
2015,Fire inspectors,55777,60478,0
2015,Bailiffs correctional officers and jailers,45432,37042,81.5
2015,Detectives and criminal investigators,75025,59386,79.2
2015,Fish and game wardens,47679,0,0
2015,Parking enforcement workers,40588,32217,0
2015,Police and sheriff's patrol officers,61694,56541,91.6
2015,Transit and railroad police,55521,51100,0
2015,Animal control workers,35656,32462,0
2015,Private detectives and investigators,56439,45436,80.5
2015,Security guards and gaming surveillance officers,30546,29883,97.8
2015,Crossing guards,31471,30767,0
2015,Transportation security screeners,40732,41751,102.5
2015,Lifeguards and other recreational and all other protective service workers,32037,27889,87.1
2015,Food Preparation and Serving Related Occupations:,22483,20049,89.2
2015,Chefs and head cooks,30810,25534,82.9
2015,First-line supervisors of food preparation and serving workers,27453,22506,82
2015,Cooks,21063,18581,88.2
2015,Food preparation workers,19870,18376,92.5
2015,Bartenders,28682,23849,83.1
2015,Combined food preparation and serving workers including fast food,20150,19325,95.9
2015,Counter attendants cafeteria food concession and coffee shop,20304,16771,82.6
2015,Waiters and waitresses,23802,19524,82
2015,Food servers nonrestaurant,23729,22775,96
2015,Dining room and cafeteria attendants and bartender helpers,20378,17663,86.7
2015,Dishwashers,17302,17332,100.2
2015,Hosts and hostesses restaurant lounge and coffee shop,23444,17260,0
2015,Food preparation and serving related workers all other,12147,20039,0
2015,Building and Grounds Cleaning and Maintenance Occupations:,27873,20844,74.8
2015,First-line supervisors of housekeeping and janitorial workers,41180,26860,65.2
2015,First-line supervisors of landscaping lawn service and groundskeeping workers,39564,31980,0
2015,Janitors and building cleaners,29685,21592,72.7
2015,Maids and housekeeping cleaners,24397,19752,81
2015,Pest control workers,33871,24899,0
2015,Grounds maintenance workers,23639,21996,93
2015,Personal Care and Service Occupations:,30217,22294,73.8
2015,First-line supervisors of gaming workers,45980,37178,80.9
2015,First-line supervisors of personal service workers,40006,30871,77.2
2015,Animal trainers,29644,26400,89.1
2015,Nonfarm animal caretakers,25025,24401,97.5
2015,Gaming services workers,37441,35023,93.5
2015,Motion picture projectionists,31291,100508,0
2015,Ushers lobby attendants and ticket takers,29552,20904,0
2015,Miscellaneous entertainment attendants and related workers,25928,24154,93.2
2015,Embalmers and funeral attendants,27020,19780,0
2015,Morticians undertakers and funeral directors,51129,31023,60.7
2015,Barbers,22321,18509,82.9
2015,Hairdressers hairstylists and cosmetologists,31224,23943,76.7
2015,Miscellaneous personal appearance workers,22047,21632,98.1
2015,Baggage porters bellhops and concierges,31799,30572,96.1
2015,Tour and travel guides,29043,30413,0
2015,Childcare workers,21832,19931,91.3
2015,Personal care aides,24244,21557,88.9
2015,Recreation and fitness workers,35636,28203,79.1
2015,Residential advisors,27339,25074,91.7
2015,Personal care and service workers all other ,26597,21820,82
2015,.Sales and Office Occupations:,44622,32972,73.9
2015,Sales and Related Occupations:,50259,31747,63.2
2015,First-line supervisors of retail sales workers,44856,31897,71.1
2015,First-line supervisors of non-retail sales workers,61556,53770,87.4
2015,Cashiers,22257,19736,88.7
2015,Counter and rental clerks,27449,27194,99.1
2015,Parts salespersons,34231,27467,80.2
2015,Retail salespersons,37143,26140,70.4
2015,Advertising sales agents,60522,45378,75
2015,Insurance sales agents,61639,41250,66.9
2015,Securities commodities and financial services sales agents,93795,51284,54.7
2015,Travel agents,40408,36746,90.9
2015,Sales representatives services all other,65763,48984,74.5
2015,Sales representatives wholesale and manufacturing,63861,51986,81.4
2015,Models demonstrators and product promoters,50929,27018,0
2015,Real estate brokers and sales agents,60775,42294,69.6
2015,Sales engineers,95047,77722,0
2015,Telemarketers,26440,25257,95.5
2015,Door-to-door sales workers news and street vendors and related workers,29469,23312,79.1
2015,Sales and related workers all other,61045,44956,73.6
2015,Office and Administrative Support Occupations:,38713,33637,86.9
2015,First-line supervisors of office and administrative support workers,54066,42369,78.4
2015,Switchboard operators including answering service,33816,23936,0
2015,Telephone operators,31822,27360,86
2015,Communications equipment operators all other,53684,34538,0
2015,Bill and account collectors,36784,32234,87.6
2015,Billing and posting clerks ,37351,32267,86.4
2015,Bookkeeping accounting and auditing clerks,41490,36372,87.7
2015,Gaming cage workers,21105,27810,0
2015,Payroll and timekeeping clerks,41838,38923,93
2015,Procurement clerks,65297,45564,69.8
2015,Tellers,25564,25222,98.7
2015,Financial clerks all other,67732,42122,62.2
2015,Brokerage clerks,50040,45834,0
2015,Correspondence clerks,35020,31302,0
2015,Court municipal and license clerks,42192,35585,84.3
2015,Credit authorizers checkers and clerks,50853,35037,68.9
2015,Customer service representatives,35505,31152,87.7
2015,Eligibility interviewers government programs,50400,40071,79.5
2015,File clerks,35594,31976,89.8
2015,Hotel motel and resort desk clerks,21995,21329,97
2015,Interviewers except eligibility and loan,35424,30395,85.8
2015,Library assistants clerical,30889,27952,90.5
2015,Loan interviewers and clerks,41750,38807,93
2015,New accounts clerks,47191,31894,0
2015,Order clerks,33757,31216,92.5
2015,Human resources assistants except payroll and timekeeping,42293,37643,89
2015,Receptionists and information clerks,29454,27222,92.4
2015,Reservation and transportation ticket agents and travel clerks,40755,35344,86.7
2015,Information and record clerks all other,41589,36352,87.4
2015,Cargo and freight agents,42852,40984,0
2015,Couriers and messengers,39789,30480,76.6
2015,Dispatchers,41363,34067,82.4
2015,Meter readers utilities,36161,43775,0
2015,Postal service clerks,54166,52574,97.1
2015,Postal service mail carriers,57073,52085,91.3
2015,Postal service mail sorters processors and processing machine operators,54885,52637,95.9
2015,Production planning and expediting clerks,56437,37246,66
2015,Shipping receiving and traffic clerks,31401,27939,89
2015,Stock clerks and order fillers,27032,25493,94.3
2015,Weighers measurers checkers and samplers recordkeeping,40651,30345,74.6
2015,Secretaries and administrative assistants,40599,35677,87.9
2015,Computer operators,48966,37288,76.2
2015,Data entry keyers,35544,31236,87.9
2015,Word processors and typists,36294,32208,88.7
2015,Desktop publishers,51304,39944,0
2015,Insurance claims and policy processing clerks,40293,35574,88.3
2015,Mail clerks and mail machine operators except postal service,30238,28308,93.6
2015,Office clerks general,36371,32155,88.4
2015,Office machine operators except computer,35302,31192,88.4
2015,Proofreaders and copy markers,35766,32700,0
2015,Statistical assistants,46090,40058,86.9
2015,Office and administrative support workers all other,44833,36981,82.5
2015,Natural Resources Construction and Maintenance Occupations:,40696,30351,74.6
2015,Farming Fishing and Forestry Occupations:,26271,18998,72.3
2015,First-line supervisors of farming fishing and forestry workers,39581,31456,0
2015,Agricultural inspectors,46125,44682,0
2015,Animal breeders,30906,25666,0
2015,Graders and sorters agricultural products,23490,18099,77
2015,Miscellaneous agricultural workers ,24602,17713,72
2015,Fishing and hunting workers,35018,24415,0
2015,Forest and conservation workers,32118,24167,0
2015,Logging workers,31186,23640,0
2015,Construction and Extraction Occupations:,40078,33236,82.9
2015,First-line supervisors of construction trades and extraction workers,56164,43878,78.1
2015,Boilermakers,56031,42065,0
2015,Brickmasons blockmasons and stonemasons,32024,25210,0
2015,Carpenters,34698,26702,77
2015,Carpet floor and tile installers and finishers,31028,30093,0
2015,Cement masons concrete finishers and terrazzo workers,35706,0,0
2015,Construction laborers,31066,27927,89.9
2015,Paving surfacing and tamping equipment operators,39603,0,0
2015,Operating engineers and other construction equipment operators including pile-driver operators,42289,33641,0
2015,Drywall installers ceiling tile installers and tapers,29122,27477,0
2015,Electricians,50029,41299,82.6
2015,Glaziers,35881,20444,0
2015,Insulation workers,36800,30763,0
2015,Painters construction and maintenance,30131,26453,87.8
2015,Paperhangers,50374,40361,0
2015,Pipelayers plumbers pipefitters and steamfitters,43411,41047,0
2015,Plasterers and stucco masons,25885,0,0
2015,Reinforcing iron and rebar workers,32302,0,0
2015,Roofers,27678,19114,0
2015,Sheet metal workers,42004,34016,0
2015,Structural iron and steel workers,45617,41302,0
2015,Helpers construction trades,27431,34839,0
2015,Construction and building inspectors,53088,45705,86.1
2015,Elevator installers and repairers,85807,87403,0
2015,Fence erectors,30669,16111,0
2015,Hazardous materials removal workers,40284,31033,0
2015,Highway maintenance workers,37480,31543,0
2015,Rail-track laying and maintenance equipment operators,53594,0,0
2015,Septic tank servicers and sewer pipe cleaners,37914,0,0
2015,Miscellaneous construction and related workers including solar photovoltaic installers,38921,24550,0
2015,Derrick rotary drill and service unit operators oil gas and mining,67593,31710,0
2015,Earth drillers except oil and gas,52060,62442,0
2015,Explosives workers ordnance handling experts and blasters,50630,36960,0
2015,Mining machine operators,65606,57397,0
2015,Roof bolters mining,66547,0,0
2015,Roustabouts oil and gas,44659,0,0
2015,Helpers--extraction workers,49887,55662,0
2015,Other extraction workers,50962,59240,0
2015,Installation Maintenance and Repair Occupations:,43781,40347,92.2
2015,First-line supervisors of mechanics installers and repairers,57076,52927,92.7
2015,Computer automated teller and office machine repairers,43137,39601,91.8
2015,Radio and telecommunications equipment installers and repairers,52209,45468,87.1
2015,Avionics technicians,51834,42398,0
2015,Electric motor power tool and related repairers,50430,30066,0
2015,Electrical and electronics installers and repairers transportation equipment,50287,0,0
2015,Electrical and electronics repairers industrial and utility,65526,60320,0
2015,Electronic equipment installers and repairers motor vehicles,40818,22493,0
2015,Electronic home entertainment equipment installers and repairers,41385,30949,0
2015,Security and fire alarm systems installers,42157,41096,0
2015,Aircraft mechanics and service technicians,56690,45440,80.2
2015,Automotive body and related repairers,39370,31007,0
2015,Automotive glass installers and repairers,36293,37687,0
2015,Automotive service technicians and mechanics,35523,31587,88.9
2015,Bus and truck mechanics and diesel engine specialists,42902,36083,0
2015,Heavy vehicle and mobile equipment service technicians and mechanics,50329,41656,0
2015,Small engine mechanics,31369,31591,0
2015,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,27158,23954,0
2015,Control and valve installers and repairers,50548,40393,0
2015,Heating air conditioning and refrigeration mechanics and installers,41855,32257,0
2015,Home appliance repairers,37384,28702,0
2015,Industrial and refractory machinery mechanics,50482,41142,81.5
2015,Maintenance and repair workers general,41683,36185,86.8
2015,Maintenance workers machinery,45579,57318,0
2015,Millwrights,60153,56197,0
2015,Electrical power-line installers and repairers,69852,80439,0
2015,Telecommunications line installers and repairers,47527,55989,0
2015,Precision instrument and equipment repairers,47813,40064,0
2015,Coin vending and amusement machine servicers and repairers,35885,32002,0
2015,Commercial divers,50966,0,0
2015,Locksmiths and safe repairers,37993,24135,0
2015,Manufactured building and mobile home installers,30799,0,0
2015,Riggers,43701,0,0
2015,Signal and track switch repairers,72465,0,0
2015,Helpers--installation maintenance and repair workers ,26932,29307,0
2015,Other installation maintenance and repair workers including wind turbine service technicians,37008,28922,78.2
2015,Production Transportation and Material Moving Occupations:,37377,26339,70.5
2015,Production Occupations:,39170,26544,67.8
2015,First-line supervisors of production and operating workers,54494,40815,74.9
2015,Aircraft structure surfaces rigging and systems assemblers,51161,35660,0
2015,Electrical electronics and electromechanical assemblers,31243,27385,87.7
2015,Engine and other machine assemblers,41657,35316,0
2015,Structural metal fabricators and fitters,40346,30970,0
2015,Miscellaneous assemblers and fabricators,32026,26899,84
2015,Bakers,26114,22040,84.4
2015,Butchers and other meat poultry and fish processing workers,29333,22876,78
2015,Food and tobacco roasting baking and drying machine operators and tenders,36385,26845,0
2015,Food batchmakers,31811,24268,76.3
2015,Food cooking machine operators and tenders,30554,22015,0
2015,Food processing workers all other,32439,27983,86.3
2015,Computer control programmers and operators,42021,36468,0
2015,Extruding and drawing machine setters operators and tenders metal and plastic,40222,32041,0
2015,Forging machine setters operators and tenders metal and plastic,41164,26124,0
2015,Rolling machine setters operators and tenders metal and plastic,39696,25227,0
2015,Cutting punching and press machine setters operators and tenders metal and plastic,32671,26923,82.4
2015,Drilling and boring machine tool setters operators and tenders metal and plastic ,36947,30941,0
2015,Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,32823,25041,0
2015,Lathe and turning machine tool setters operators and tenders metal and plastic,39932,27079,0
2015,Milling and planing machine setters operators and tenders metal and plastic,36487,37304,0
2015,Machinists,45549,31887,70
2015,Metal furnace operators tenders pourers and casters,45644,48828,0
2015,Model makers and patternmakers metal and plastic,45087,36732,0
2015,Molders and molding machine setters operators and tenders metal and plastic,38294,30011,78.4
2015,Multiple machine tool setters operators and tenders metal and plastic ,53347,26824,0
2015,Tool and die makers,54642,36745,0
2015,Welding soldering and brazing workers,39281,26893,68.5
2015,Heat treating equipment setters operators and tenders metal and plastic,40662,46350,0
2015,Layout workers metal and plastic,48655,41135,0
2015,Plating and coating machine setters operators and tenders metal and plastic,35031,26024,0
2015,Tool grinders filers and sharpeners,40550,30966,0
2015,Metal workers and plastic workers all other,35514,26963,75.9
2015,Prepress technicians and workers,38946,28806,74
2015,Printing workers except prepress technicians and workers,36916,26679,72.3
2015,Laundry and dry-cleaning workers,24752,19203,77.6
2015,Pressers textile garment and related materials,27268,20168,74
2015,Sewing machine operators,22855,20430,89.4
2015,Shoe and leather workers and repairers,28974,21262,0
2015,Shoe machine operators and tenders,21536,21970,0
2015,Tailors dressmakers and sewers,27459,21759,79.2
2015,Textile bleaching and dyeing machine operators and tenders,28612,31154,0
2015,Textile cutting machine setters operators and tenders,26319,18793,0
2015,Textile knitting and weaving machine setters operators and tenders,30288,25110,0
2015,Textile winding twisting and drawing out machine setters operators and tenders,24567,25449,0
2015,Fabric and apparel patternmakers,53500,52582,0
2015,Upholsterers,30724,20834,0
2015,Miscellaneous textile apparel and furnishings workers including extruding and forming machine setters operators and tenders synthetic and glass fibers,28326,22354,0
2015,Cabinetmakers and bench carpenters,31685,21543,0
2015,Furniture finishers,32936,26337,0
2015,Sawing machine setters operators and tenders wood,27449,26034,0
2015,Woodworking machine setters operators and tenders except sawing,26282,25489,0
2015,Miscellaneous woodworkers including model makers and patternmakers,31991,18913,0
2015,Power plant operators distributors and dispatchers,81043,72351,0
2015,Stationary engineers and boiler operators,55864,54415,0
2015,Water and wastewater treatment plant and system operators,45724,41945,0
2015,Miscellaneous plant and system operators,62068,53601,0
2015,Chemical processing machine setters operators and tenders,51669,38087,0
2015,Crushing grinding polishing mixing and blending workers,37709,32032,84.9
2015,Cutting workers,31113,21516,69.2
2015,Extruding forming pressing and compacting machine setters operators and tenders,36743,24444,0
2015,Furnace kiln oven drier and kettle operators and tenders,35876,24819,0
2015,Inspectors testers sorters samplers and weighers,43551,31043,71.3
2015,Jewelers and precious stone and metal workers,36494,24657,67.6
2015,Medical dental and ophthalmic laboratory technicians,37346,30704,82.2
2015,Packaging and filling machine operators and tenders,28528,22809,80
2015,Painting workers,33422,28032,83.9
2015,Photographic process workers and processing machine operators,31888,21348,66.9
2015,Semiconductor processors,50057,31023,0
2015,Adhesive bonding machine operators and tenders,33187,23833,0
2015,Cleaning washing and metal pickling equipment operators and tenders,31884,26250,0
2015,Cooling and freezing equipment operators and tenders,37889,21726,0
2015,Etchers and engravers,33319,24509,0
2015,Molders shapers and casters except metal and plastic,31191,20724,0
2015,Paper goods machine setters operators and tenders,45905,25134,0
2015,Tire builders,50462,37200,0
2015,Helpers--production workers,27179,22732,0
2015,Production workers all other,36237,26505,73.1
2015,Transportation Occupations:,41222,30304,73.5
2015,Supervisors of transportation and material moving workers,51339,40904,79.7
2015,Aircraft pilots and flight engineers,101007,50770,0
2015,Air traffic controllers and airfield operations specialists,80236,65873,0
2015,Flight attendants,51594,41168,79.8
2015,Ambulance drivers and attendants except emergency medical technicians,24657,22602,0
2015,Bus drivers,37569,27180,72.3
2015,Driver/sales workers and truck drivers,40865,27657,67.7
2015,Taxi drivers and chauffeurs,26763,21521,80.4
2015,Motor vehicle operators all other,30190,18932,0
2015,Locomotive engineers and operators,78762,55528,0
2015,Railroad brake signal and switch operators,61203,0,0
2015,Railroad conductors and yardmasters,65462,65256,0
2015,Subway streetcar and other rail transportation workers,61243,55787,0
2015,Sailors and marine oilers,49771,37716,0
2015,Ship and boat captains and operators,70159,37067,0
2015,Ship engineers,78984,70984,0
2015,Bridge and lock tenders,50039,27053,0
2015,Parking lot attendants,23889,19536,0
2015,Automotive and watercraft service attendants,22729,20516,90.3
2015,Transportation inspectors,58158,45220,0
2015,Transportation attendants except flight attendants,41630,22992,0
2015,Other transportation workers ,42494,42068,0
2015,Material Moving Occupations:,30415,23419,77
2015,Conveyor operators and tenders,36374,24934,0
2015,Crane and tower operators,51448,51941,0
2015,Dredge excavating and loading machine operators,41892,28750,0
2015,Hoist and winch operators,46825,26862,0
2015,Industrial truck and tractor operators,31002,30981,99.9
2015,Cleaners of vehicles and equipment,23605,24793,105
2015,Laborers and freight stock and material movers hand,30531,24953,81.7
2015,Machine feeders and offbearers,30290,21911,72.3
2015,Packers and packagers hand,22711,20876,91.9
2015,Pumping station operators,60134,130660,0
2015,Refuse and recyclable material collectors,30057,22209,0
2015,Mine shuttle car operators,70594,0,0
2015,Tank car truck and ship loaders,40628,13806,0
2015,Material moving workers all other,36755,28267,0
2016,Total full-time year-round civilian workers 16 years and over,49149,39054,78.8
2016,Management  Business Science and Arts Occupations:,73798,52485,71.9
2016,Management Business and Financial Occupations:,76749,56962,73.8
2016,Management Occupations:,80214,60263,75.1
2016,Chief executives,130830,101174,76
2016,General and operations managers,74888,53539,75
2016,Legislators,76794,70059,91.3
2016,Advertising and promotions managers,75638,52378,74.3
2016,Marketing and sales managers,97067,65229,70.7
2016,Public relations and fundraising managers,91993,70227,73.3
2016,Administrative services managers,71025,54308,82.7
2016,Computer and information systems managers,101957,88946,89.8
2016,Financial managers,94742,60512,63.6
2016,Compensation and benefits managers,116768,75904,0
2016,Human resources managers,77259,66608,85.8
2016,Training and development managers,81439,69605,88
2016,Industrial production managers,76623,65474,87.1
2016,Purchasing managers,81163,65221,77
2016,Transportation storage and distribution managers,51532,55211,100.5
2016,Farmers ranchers and other agricultural managers,41984,30726,60.7
2016,Construction managers,70391,60483,89.4
2016,Education administrators,79569,62001,77.6
2016,Architectural and engineering managers,125512,120158,93.3
2016,Food service managers,41587,31092,76.7
2016,Funeral service managers,61996,70489,0
2016,Gaming managers,55969,50369,91.8
2016,Lodging managers,50487,39723,72.2
2016,Medical and health services managers,85292,66115,76.7
2016,Natural sciences managers,101115,71535,70.5
2016,Postmasters and mail superintendents,75273,63780,72.7
2016,Property real estate and community association managers,60819,44159,73.2
2016,Social and community service managers,60158,51343,83.3
2016,Emergency management directors,68843,72877,0
2016,Managers all other,81484,63700,78.5
2016,Business and Financial Operations Occupations:,70728,54018,74.9
2016,Agents and business managers of artists performers and athletes,60818,50170,90.6
2016,Buyers and purchasing agents farm products,50060,37830,0
2016,Wholesale and retail buyers except farm products,42033,42271,103.3
2016,Purchasing agents except wholesale retail and farm products,58713,49852,82.1
2016,Claims adjusters appraisers examiners and investigators,57748,46759,77.4
