Year,OccupationalCategory,Men,Women,Percentage
2000,Arts design entertainment sports and media occupations:,40618,32375,79.7
2000,Artists and related workers,37179,28962,77.9
2000,Designers,41029,30499,74.3
2000,Actors,36668,31231,85.2
2000,Producers and directors,47038,40369,85.8
2000,Athletes coaches umpires and related workers,35579,26803,75.3
2000,Dancers and choreographers,30895,24536,79.4
2000,Musicians singers and related workers,33089,28753,86.9
2000,Entertainers and performers sports and related workers all other,30287,24566,81.1
2000,Announcers,30684,26669,86.9
2000,News analysts reporters and correspondents,42747,34882,81.6
2000,Public relations specialists,50165,37466,74.7
2000,Editors,43187,36399,84.3
2000,Technical writers,51012,42654,83.6
2000,Writers and authors,43451,36496,84
2000,Miscellaneous media and communication workers,36059,30419,84.4
2000,Broadcast and sound engineering technicians and radio operators,38854,31123,80.1
2000,Photographers,35534,23973,67.5
2000,Television video and motion picture camera operators and editors,39715,30734,77.4
2000,Media and communication equipment workers all other,49999,40893,0
2000,Healthcare practitioner and technical occupations:,60513,38621,63.8
2000,Chiropractors,66013,41739,63.2
2000,Dentists,109005,68698,63
2000,Dietitians and nutritionists,35790,33240,92.9
2000,Optometrists,84639,65333,77.2
2000,Pharmacists,71310,63550,89.1
2000,Physicians and surgeons,140541,87896,62.5
2000,Physician assistants,60290,35241,58.5
2000,Podiatrists,90948,51667,56.8
2000,Registered nurses,46319,42401,91.5
2000,Audiologists,56921,42253,74.2
2000,Occupational therapists,49247,45029,91.4
2000,Physical therapists,55040,48270,87.7
2000,Radiation therapists,49794,43116,86.6
2000,Recreational therapists,33155,28625,86.3
2000,Respiratory therapists,40739,36012,88.4
2000,Speech-language pathologists,47672,41436,86.9
2000,Therapists all other,36111,31774,88
2000,Veterinarians,71456,49385,69.1
2000,Health diagnosing and treating practitioners all other,37492,31518,84.1
2000,Clinical laboratory technologists and technicians,37178,33931,91.3
2000,Dental hygienists,43160,40363,93.5
2000,Diagnostic related technologists and technicians,41728,35250,84.5
2000,Emergency medical technicians and paramedics,32638,26893,82.4
2000,Health diagnosing and treating practitioner support technicians,27376,22061,80.6
2000,Licensed practical and licensed vocational nurses,30223,27258,90.2
2000,Medical records and health information technicians,26064,21841,83.8
2000,Opticians dispensing,32231,24269,75.3
2000,Miscellaneous health technologists and technicians,36897,25684,69.6
2000,Other healthcare practitioners and technical occupations,41980,34576,82.4
2000,Service occupations:,26619,18245,68.5
2000,Healthcare support occupations:,24605,20486,83.3
2000,Nursing psychiatric and home health aides,23603,19278,81.7
2000,Occupational therapist assistants and aides,31107,29792,95.8
2000,Physical therapist assistants and aides,30145,27421,91
2000,Massage therapists,25219,21514,85.3
2000,Dental assistants,25819,22361,86.6
2000,Medical assistants and other healthcare support occupations,26001,21839,84
2000,Protective service occupations:,38932,30658,78.7
2000,First-line supervisors/managers of correctional officers,40281,34188,84.9
2000,First-line supervisors/managers of police and detectives,55409,42804,77.3
2000,First-line supervisors/managers of fire fighting and prevention workers,58279,44766,76.8
2000,Supervisors protective service workers all other,36320,33118,91.2
2000,Fire fighters,45700,39381,86.2
2000,Fire inspectors,42576,38750,91
2000,Bailiffs correctional officers and jailers,33932,27704,81.6
2000,Detectives and criminal investigators,52404,41396,79
2000,Fish and game wardens,35951,35385,0
2000,Parking enforcement workers,27811,26194,94.2
2000,Police and sheriff's patrol officers,42787,39231,91.7
2000,Transit and railroad police,45239,30972,0
2000,Animal control workers,25907,25060,96.7
2000,Private detectives and investigators,41529,32221,77.6
